player_name,pfr_id,position,weight_lbs,height_in,arm_length_in,hand_size_in,yard_40_dash_sec,yard_10_split_sec,cone_drill_sec,yard_20_shuttle_sec,vertical_jump_in,broad_jump_in,bench_press_reps
austin seibert,SeibAu00,k,213.0,60.0,30.375,8.875,,,,,,,
austin shepherd,ShepAu00,ot,315.0,72.0,32.875,10.0,5.39,1.9,8.04,4.7,29.0,94.0,17.0
austin wheatley,WheaAu20,te,254.0,72.0,,,4.66,,,4.18,32.5,121.0,
autry denson,DensAu00,rb,197.0,60.0,,,4.67,,,4.15,31.0,116.0,20.0
b.j. coleman,ColeB.00,qb,233.0,72.0,31.625,10.375,,,7.07,4.38,,109.0,
b.j. cunningham,CunnB.00,wr,211.0,72.0,33.0,8.125,4.59,,7.1,,31.0,116.0,12.0
b.j. hill,HallP.00,dt,311.0,72.0,33.0,10.625,4.99,,7.28,4.53,26.5,101.0,35.0
b.w. webb,WebbBW00,cb,184.0,60.0,30.25,9.375,4.51,1.49,6.82,3.84,40.5,132.0,14.0
babatunde oshinowo,OshiBa20,dt,304.0,72.0,,,5.27,,,4.57,32.0,105.0,33.0
bailey zappe,ZappBa00,qb,215.0,72.0,31.375,9.75,4.88,1.67,,,30.0,109.0,
baker mayfield,MayfBa00,qb,215.0,72.0,30.25,9.25,4.84,,7.0,4.28,29.0,111.0,
barry richardson,RichBa20,ot,320.0,72.0,,,5.45,,,5.16,25.5,100.0,24.0
bashaud breeland,BreeBa00,cb,197.0,60.0,31.75,9.0,4.53,,7.04,4.33,34.5,123.0,11.0
baylon spector,SpecBa00,lb,233.0,72.0,31.5,10.0,4.6,1.59,,,36.0,122.0,
bear pascoe,PascBe00,te,251.0,72.0,,,4.96,,,4.55,26.5,107.0,
beau sandland,SandBe00,te,253.0,72.0,34.25,10.125,4.74,1.67,7.1,4.33,35.0,124.0,23.0
ben burr-kirven,BurrBe00,lb,230.0,72.0,31.875,8.875,4.56,,6.85,4.09,34.5,121.0,21.0
ben cleveland,ClevBe00,g,343.0,72.0,33.75,9.75,5.05,1.77,,4.88,28.0,102.0,30.0
ben grubbs,GrubBe20,g,311.0,72.0,,,5.18,,,4.72,26.5,103.0,29.0
ben hartsock,HartBe00,te,263.0,72.0,,,4.8,,,4.03,35.0,117.0,23.0
ben jones,JoneBe01,c,303.0,72.0,,,5.44,,7.95,4.74,30.0,105.0,29.0
ben koyack,KoyaBe00,te,255.0,72.0,32.625,10.75,,,,,,,
ben leber,LebeBe20,olb,244.0,72.0,,,4.62,,,4.25,32.5,114.0,20.0
ben obomanu,ObomBe00,wr,205.0,72.0,33.0,9.0,4.43,,,,39.5,,
ben patrick,PatrBe00,te,252.0,72.0,,,4.74,,,4.31,34.5,111.0,
ben roethlisberger,RoetBe00,qb,241.0,72.0,,,4.75,,,,,,
ben sobieski,SobiBe20,g,307.0,72.0,,,5.0,,,4.49,30.0,109.0,18.0
ben tate,TateBe00,rb,220.0,60.0,31.25,9.0,4.34,,,4.12,40.5,124.0,26.0
ben watson,WatsBe00,te,258.0,72.0,,,4.57,,,4.15,35.5,123.0,34.0
