name,position,height_in,weight,sprint_speed,avg_hit_speed,brl_percent,WAR,wRC+,wOBA,BB%,K%,Hard%,WAR_z
Noelvi Marte,OF,74,216,28.8,87.0,6.5,-1.4,48.0,0.243,0.037,0.31,0.297,-0.7971089190697502
Kevin Kiermaier,CF,73,210,28.7,86.4,3.9,0.3,54.0,0.241,0.043,0.306,0.254,-0.7753512691956301
Zack Gelof,2B,74,205,28.7,89.2,8.8,1.4,82.0,0.276,0.069,0.344,0.284,-0.0986019084784102
Otto Lopez,2B,70,185,28.7,88.0,5.1,2.5,92.0,0.302,0.0579999999999999,0.173,0.31,0.6409124051096661
Tyler Wade,2B,72,188,28.7,83.7,1.8,-0.3,56.0,0.242,0.071,0.186,0.177,-1.2414876658418008
Joey Ortiz,SS,70,192,28.7,87.8,4.6,3.2,105.0,0.319,0.11,0.2019999999999999,0.301,0.34597341433374723
Chas McCormick,LF,71,208,28.7,86.2,7.5,-0.2,65.0,0.257,0.064,0.27,0.287,-0.8337584385728625
Estevan Florial,LF,73,195,28.7,88.7,10.3,0.1,80.0,0.277,0.099,0.369,0.31,-0.6653739313947445
Matt Chapman,3B,73,220,28.7,93.2,12.6,5.5,121.0,0.34,0.099,0.244,0.375,2.532218940261117
Miguel Vargas,3B,74,225,28.6,86.2,4.6,-1.0,46.0,0.233,0.105,0.241,0.25,-1.2919964667317407
Blaze Alexander,SS,71,160,28.6,88.5,3.4,-0.1,89.0,0.298,0.081,0.265,0.314,-0.9425732390509964
Mickey Moniak,RF,73,195,28.6,88.1,9.3,0.1,80.0,0.281,0.05,0.273,0.3229999999999999,-0.5688478215134083
Anthony Volpe,SS,70,197,28.6,87.7,3.9,3.5,87.0,0.287,0.061,0.226,0.247,0.4631140191869057
Jose Iglesias,2B,71,195,28.6,85.8,2.2,2.5,136.0,0.362,0.0409999999999999,0.134,0.254,0.6409124051096661
Teoscar Hernández,RF,72,215,28.6,90.6,14.9,3.4,132.0,0.36,0.081,0.288,0.363,0.9429893417034345
Jazz Chisholm Jr.,2B,71,184,28.6,89.7,9.7,4.0,111.0,0.327,0.085,0.245,0.34,1.6493410145479517
CJ Abrams,SS,72,191,28.5,88.2,6.9,1.8,106.0,0.322,0.066,0.213,0.335,-0.20068274164765917
Marcus Semien,2B,72,195,28.5,87.4,6.6,4.3,101.0,0.306,0.089,0.146,0.326,1.8510267364356088
Heston Kjerstad,LF,74,205,28.5,90.2,6.1,0.3,115.0,0.327,0.088,0.289,0.288,-0.5531175932759993
Jackson Merrill,CF,74,195,28.5,90.4,11.3,5.3,130.0,0.352,0.049,0.17,0.355,2.6186961154155917
Dane Myers,CF,72,205,28.5,89.9,11.5,0.7,113.0,0.335,0.074,0.3329999999999999,0.361,-0.5038274784267324
Leody Taveras,OF,74,195,28.5,89.0,5.9,1.2,84.0,0.282,0.079,0.212,0.285,1.200465239562877
Cavan Biggio,1B,72,200,28.5,82.0,2.5,0.1,84.0,0.285,0.107,0.321,0.161,-0.5395967322677212
Michael A. Taylor,RF,76,215,28.5,89.3,11.6,0.4,50.0,0.242,0.077,0.35,0.355,-0.4314080794027862
Jared Triolo,SS,75,212,28.5,88.4,5.3,0.4,72.0,0.275,0.094,0.265,0.281,-0.7473388976290656
Daulton Varsho,CF,68,207,28.5,86.1,6.2,3.2,99.0,0.304,0.094,0.267,0.296,1.1931962138788785
Cristian Pache,OF,74,215,28.5,89.9,4.9,0.0,56.0,0.25,0.093,0.35,0.353,0.27850793557858744
Christian Yelich,LF,76,220,28.5,91.1,7.9,3.0,154.0,0.391,0.127,0.184,0.36,0.9623429713270619
Travis Jankowski,RF,75,195,28.5,85.4,0.7,-0.2,50.0,0.234,0.0579999999999999,0.213,0.205,-0.7062875636240303
Corey Julks,LF,71,220,28.5,84.9,3.2,-0.6,66.0,0.26,0.079,0.265,0.242,-1.0582711148103532
Josh Lowe,RF,75,220,28.4,90.8,10.3,1.0,98.0,0.299,0.083,0.318,0.3279999999999999,-0.15652859518154208
Zach McKinstry,3B,71,180,28.4,88.0,4.3,1.0,74.0,0.27,0.074,0.212,0.287,-0.11531480304163087
Jung Hoo Lee,CF,72,196,28.4,89.1,4.5,0.1,83.0,0.284,0.063,0.0819999999999999,0.299,-0.911113164580079
Connor Wong,C,70,190,28.4,86.5,6.3,1.1,112.0,0.33,0.057,0.2339999999999999,0.271,-0.07413292232431158
J.T. Realmuto,C,72,212,28.4,89.2,10.4,2.0,107.0,0.326,0.065,0.247,0.358,0.5314760277404494
Nico Hoerner,2B,71,200,28.4,85.7,1.2,3.8,102.0,0.313,0.069,0.103,0.204,1.5148838666228468
Ernie Clement,3B,72,170,28.4,85.5,3.8,2.1,94.0,0.297,0.024,0.091,0.247,0.5318601119879296
Xavier Edwards,SS,69,175,28.4,86.1,1.8,2.2,129.0,0.359,0.109,0.172,0.266,-0.04449526851011445
Jordan Walker,RF,78,250,28.4,91.2,9.5,-0.6,72.0,0.268,0.0559999999999999,0.281,0.362,-0.8895405531048598
Kevin Pillar,LF,72,210,28.4,84.6,3.7,0.6,89.0,0.293,0.051,0.22,0.301,-0.3847330860978814
Daz Cameron,RF,72,185,28.4,91.6,8.3,-0.4,70.0,0.258,0.07,0.2739999999999999,0.372,-0.7979140583644451
Fernando Tatis Jr.,RF,75,217,28.4,93.5,14.5,3.3,135.0,0.359,0.073,0.2189999999999999,0.389,0.8971760943332271
Cody Bellinger,LF,75,204,28.4,87.8,6.3,2.1,108.0,0.322,0.079,0.156,0.273,0.45718944979270826
Jack Suwinski,RF,73,217,28.3,88.9,8.8,-1.1,62.0,0.26,0.0969999999999999,0.285,0.335,-1.1186067899558967
Michael Siani,CF,71,195,28.3,84.4,2.3,1.1,64.0,0.257,0.063,0.275,0.183,-0.23230368765783457
Jake Fraley,RF,71,206,28.3,84.3,3.2,1.0,96.0,0.314,0.068,0.183,0.216,-0.15652859518154208
Ha-Seong Kim,SS,70,200,28.3,87.9,4.8,2.6,101.0,0.308,0.123,0.1639999999999999,0.252,0.1116922046274302
Seiya Suzuki,RF,71,182,28.3,91.7,11.5,3.5,137.0,0.365,0.108,0.2739999999999999,0.385,0.9888025890736419
Austin Martin,CF,70,185,28.3,87.2,1.1,-0.2,92.0,0.297,0.078,0.183,0.271,-1.1147560076567522
Cedric Mullins,CF,67,175,28.3,87.1,4.9,2.1,104.0,0.31,0.0819999999999999,0.196,0.249,0.44650578926440976
Michael Harris II,CF,71,195,28.3,90.5,10.0,2.0,99.0,0.312,0.049,0.2,0.364,0.3786248415721853
José Caballero,SS,69,190,28.3,83.7,5.1,1.9,83.0,0.277,0.0559999999999999,0.275,0.266,-0.16163587336327306
Colton Cowser,LF,75,220,28.2,90.5,13.6,3.9,119.0,0.331,0.093,0.307,0.367,1.4674964928614156
José Ramírez,3B,68,190,28.2,89.2,8.6,6.4,141.0,0.364,0.079,0.12,0.349,3.0617256889216664
Brandon Marsh,CF,74,215,28.2,91.6,10.0,2.3,107.0,0.326,0.105,0.324,0.381,0.5822676846488585
Harrison Bader,LF,71,219,28.2,87.2,6.4,1.2,85.0,0.285,0.048,0.217,0.265,-0.04796407174164558
Tyler Freeman,RF,71,190,28.2,87.7,3.2,0.4,84.0,0.283,0.073,0.138,0.247,-0.4314080794027862
Austin Slater,LF,73,205,28.2,88.2,3.3,-0.2,76.0,0.273,0.123,0.283,0.298,-0.8337584385728625
Kyle Stowers,LF,74,215,28.2,91.0,10.9,-0.7,68.0,0.265,0.062,0.354,0.37,-1.1143992838697256
Zach Neto,SS,71,185,28.2,88.5,8.4,3.5,115.0,0.33,0.065,0.233,0.327,0.4631140191869057
Will Brennan,RF,71,205,28.2,86.0,4.6,0.5,98.0,0.303,0.054,0.136,0.258,-0.3855948320325789
Spencer Steer,1B,69,185,28.2,88.0,6.4,1.5,98.0,0.316,0.11,0.209,0.3329999999999999,0.39016994487050616
Nolan Jones,RF,76,195,28.1,88.2,5.9,-0.8,69.0,0.287,0.121,0.306,0.331,-0.9811670478452746
George Springer,RF,73,220,28.1,87.5,9.3,1.1,94.0,0.298,0.098,0.187,0.303,-0.11071534781133467
Adam Duvall,LF,73,233,28.1,86.9,10.7,-1.0,59.0,0.252,0.064,0.3,0.341,-1.2827837910478437
José Tena,3B,70,195,28.1,91.2,8.3,0.0,82.0,0.286,0.042,0.244,0.35,-0.7036556348866858
Ezequiel Tovar,SS,72,162,28.1,88.8,9.0,3.7,94.0,0.324,0.033,0.288,0.362,0.5412077557556781
Randy Arozarena,LF,70,185,28.1,90.4,8.3,2.0,114.0,0.32,0.113,0.261,0.341,0.4010612807333356
Logan O'Hoppe,C,74,225,28.1,90.4,12.0,2.1,102.0,0.311,0.063,0.297,0.39,0.5987659110809785
Chris Taylor,CF,72,196,28.1,85.9,7.1,-0.6,73.0,0.272,0.114,0.309,0.321,-1.38627979842565
Trevor Story,SS,73,209,28.1,86.1,6.6,0.7,103.0,0.318,0.104,0.311,0.213,-0.6301982927759071
Harold Ramírez,RF,71,232,28.0,87.0,3.2,-0.6,72.0,0.265,0.02,0.203,0.217,-0.8895405531048598
Thairo Estrada,2B,70,185,28.0,86.2,4.8,0.4,64.0,0.256,0.026,0.1989999999999999,0.283,-0.770887648103934
Miles Mastrobuoni,3B,69,185,28.0,87.4,2.4,-0.4,35.0,0.214,0.066,0.16,0.244,-0.9389919676247077
Brandon Nimmo,LF,73,206,28.0,91.9,9.1,2.8,108.0,0.321,0.1159999999999999,0.238,0.356,0.8500866332083166
Alex Call,RF,71,189,28.0,88.0,5.0,1.2,167.0,0.412,0.106,0.168,0.3379999999999999,-0.06490210044112737
Jonathan India,2B,70,200,28.0,87.2,7.7,2.9,109.0,0.333,0.126,0.196,0.297,0.9098267009598756
Casey Schmitt,3B,72,215,28.0,89.2,8.4,0.4,109.0,0.323,0.035,0.221,0.361,-0.46831930214866385
Dylan Moore,2B,73,205,28.0,88.4,8.8,2.4,106.0,0.306,0.12,0.2789999999999999,0.307,0.5736838311471136
Hunter Goodman,C,71,210,28.0,88.2,12.8,-1.2,61.0,0.274,0.036,0.286,0.349,-1.621800239156479
Garrett Stubbs,C,69,170,28.0,79.7,0.0,0.3,61.0,0.258,0.091,0.267,0.13,-0.6124519890485437
Bryan Reynolds,RF,74,210,28.0,89.9,9.6,2.2,118.0,0.343,0.0819999999999999,0.225,0.345,0.39323037326094634
Ian Happ,LF,70,205,27.9,90.8,11.7,3.6,121.0,0.341,0.122,0.256,0.377,1.2991119856832978
Willi Castro,LF,72,206,27.9,87.4,7.0,2.9,106.0,0.317,0.08,0.236,0.312,0.9062148022676892
