player_name,pfr_id,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position,position_group,def_pos_flag,off_pos_flag,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
charlie jones,JoneCh11,190.0,72.0,31.625,,9.0,4.43,,1.51,,,,36.5,124.0,13.0,00-0038576,wr,wr,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
charlie kolar,KolaCh00,265.0,78.0,34.5,81.125,10.0,,,,,,,,,,00-0038046,te,te,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
charlie whitehurst,WhitCh02,226.0,77.0,,,,4.75,,,,,4.12,33.0,112.0,,00-0024296,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
charlie woerner,WoerCh00,250.0,77.0,31.125,,10.0,4.78,,,,7.18,4.46,34.5,120.0,21.0,00-0036429,te,te,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
charone peake,PeakCh00,209.0,74.0,34.0,,9.25,4.45,11.69,1.63,,6.96,4.46,35.5,122.0,12.0,00-0032959,wr,wr,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
charron dorsey,DorsCh20,388.0,78.0,,,,6.03,,,,,,,,16.0,00-0020396,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
chase brown,BrowCh10,211.0,70.0,31.0,,10.0,4.43,,1.53,,,,40.0,127.0,25.0,00-0038597,rb,rb,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
chase claypool,ClayCh01,238.0,76.0,32.5,,9.875,4.42,,,,,,40.5,126.0,19.0,00-0036326,wr,wr,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
chase edmonds,EdmoCh00,201.0,69.0,31.125,71.625,9.0,4.55,11.63,,,6.79,4.07,34.0,122.0,19.0,00-0034681,rb,rb,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
chase lucas,LucaCh01,184.0,71.0,31.875,74.5,9.25,4.48,,1.52,,,,39.0,128.0,,00-0037321,cb,db,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
chase roullier,RoulCh00,312.0,76.0,32.25,,9.5,5.54,,,,7.6,4.47,26.5,97.0,19.0,00-0033529,c,ol,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
chau smith-wade,SmitCh05,176.0,71.0,30.25,72.375,9.125,4.54,,1.55,,7.05,4.32,34.5,125.0,,00-0039380,cb,db,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
chaz green,GreeCh02,318.0,77.0,33.375,,10.875,5.16,,1.75,,8.0,4.7,29.5,106.0,21.0,00-0032204,ot,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
chester taylor,TaylCh01,213.0,71.0,,,,4.58,,,,,,33.0,114.0,22.0,00-0021314,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0
chidobe awuzie,AwuzCh00,202.0,72.0,30.625,,8.5,4.43,,,,6.81,4.14,34.5,132.0,16.0,00-0033548,cb,db,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
chigoziem okonkwo,OkonCh00,238.0,75.0,32.75,78.125,9.75,4.52,,1.59,,,,35.5,,,00-0037809,te,te,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1
chike okeafor,OkeaCh20,256.0,77.0,,,,4.74,,,,,4.2,36.5,118.0,17.0,00-0012333,olb,lb,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chilo rachal,RachCh20,323.0,77.0,,,,5.16,,,,,5.14,25.5,108.0,28.0,00-0026179,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chimere dike,DikeCh00,196.0,73.0,32.125,76.875,9.125,4.34,,1.51,,6.82,4.27,38.5,128.0,,00-0040705,wr,wr,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1
chris  godwin,GodwCh00,209.0,73.0,31.625,,9.125,4.42,11.21,,,7.01,4.0,36.0,126.0,19.0,00-0033921,wr,wr,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
chris baker,BakeCh00,261.0,75.0,,,,4.81,,,,,,35.0,112.0,18.0,00-0021213,te,te,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0
chris chambers,ChamCh00,210.0,71.0,,,,4.33,,,,,4.0,45.0,134.0,,00-0020446,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris cole,ColeCh00,195.0,72.0,,,,4.37,,1.48,2.52,6.776,4.09,37.5,125.0,,00-0019661,wr,wr,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1
chris coleman,ColeCh00,195.0,72.0,,,,4.61,,,,,4.1,32.5,110.0,,00-0019661,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris combs,CombCh21,286.0,77.0,,,,5.16,,,,,,,,22.0,00-0019634,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
chris conley,ConlCh00,205.0,75.0,33.75,,9.875,4.35,11.65,1.53,,7.06,4.3,45.0,139.0,18.0,00-0032128,wr,wr,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
chris cook,CookCh99,212.0,74.0,32.5,,9.25,4.45,,,,,4.23,38.0,132.0,7.0,00-0027649,cb,db,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
chris cooley,CoolCh00,243.0,75.0,,,,4.87,,,,,4.19,33.0,115.0,22.0,00-0022738,te,te,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris davis,DaviCh02,181.0,70.0,,,,4.5,,,,,4.14,35.5,115.0,,00-0025515,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris davis,DaviCh24,235.0,71.0,,,,4.56,,,,,4.37,38.5,116.0,21.0,00-0022020,fb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris degeare,DeGeCh20,335.0,76.0,34.0,,9.75,5.12,,,,,4.9,32.5,103.0,27.0,00-0027760,g,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
chris evans,EvanCh02,215.0,71.0,32.5,76.0,10.0,4.52,,1.51,2.56,6.85,4.14,40.5,127.0,20.0,00-0036857,rb,rb,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
chris givens,GiveCh00,203.0,72.0,31.25,,8.25,4.41,,,,6.97,4.23,33.0,118.0,19.0,00-0029614,wr,wr,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
chris gragg,GragCh00,244.0,75.0,33.625,,9.0,4.5,,1.53,,7.08,4.51,37.5,125.0,18.0,00-0030049,te,te,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
chris greisen,GreiCh00,219.0,75.0,,,,5.09,,,,,4.33,30.5,108.0,,00-0006410,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris hairston,HairCh00,330.0,78.0,35.25,,9.25,5.38,,,,,4.7,29.0,96.0,33.0,00-0028060,ot,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
chris harper,HarpCh00,228.0,73.0,32.75,,9.75,4.55,,1.55,,6.89,4.39,35.5,116.0,20.0,00-0030077,wr,wr,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
chris henry,HenrCh01,234.0,71.0,,,,4.4,,,,,4.16,36.0,127.0,26.0,00-0025437,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris henry,HenrCh00,200.0,76.0,,,,4.5,,,,,,,,,00-0023518,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
chris herndon,HernCh00,253.0,76.0,32.875,79.0,9.25,,,,,,,,,21.0,00-0034766,te,te,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0
chris houston,HousCh99,178.0,71.0,,,,4.32,,,,,4.12,36.0,122.0,27.0,00-0025428,cb,db,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris hovan,HovaCh20,296.0,74.0,,,,4.99,,,,,4.16,30.0,101.0,35.0,00-0019696,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris johnson,JohnCh04,203.0,71.0,30.25,,,4.24,,1.4,,,,35.0,130.0,,00-0026164,rb,rb,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1
chris jones,JoneCh04,293.0,73.0,32.75,,9.0,5.33,,1.83,,7.34,4.44,,,30.0,00-0030106,dt,dl,1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0
chris kemoeatu,KemoCh20,344.0,75.0,,,,5.34,,,,,4.57,29.0,98.0,26.0,00-0023362,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris kuper,KupeCh20,303.0,76.0,,,,5.1,,,,,4.62,30.0,109.0,24.0,00-0024375,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris luzar,LuzaCh00,262.0,79.0,,,,4.76,,,,,4.17,32.5,115.0,22.0,00-0021090,te,te,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris mcintosh,McInCh20,308.0,78.0,,,,5.39,,,,,,,,28.0,00-0019727,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
chris moore,MoorCh00,200.0,73.0,33.375,,9.375,4.53,11.37,1.58,,6.76,4.2,37.0,130.0,10.0,00-0032398,wr,wr,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
chris ogbonnaya,OgboCh00,225.0,72.0,,,,4.57,,,,,4.29,35.0,111.0,19.0,00-0027140,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris olave,OlavCh00,187.0,72.0,31.125,73.125,9.5,4.39,,1.5,,,,32.0,124.0,,00-0037239,wr,wr,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
chris perry,PerrCh00,224.0,72.0,,,,4.55,,,,,,,,19.0,00-0022926,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0
chris rainey,RainCh00,180.0,69.0,30.75,,9.5,4.45,11.06,,,6.5,3.93,36.0,120.0,16.0,00-0029140,rb,rb,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
chris redman,RedmCh00,225.0,75.0,,,,5.37,,,,,4.78,26.5,98.0,,00-0019709,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris rodriguez jr.,RodrCh00,224.0,71.0,30.625,,8.625,,,,,,,,,19.0,00-0038611,rb,rb,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
chris rucker,RuckCh00,195.0,73.0,33.0,,9.0,4.55,,,,,,,,10.0,00-0028126,cb,db,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0
chris scott,ScotCh23,330.0,76.0,34.125,,10.375,5.52,,,,,5.03,22.5,,19.0,00-0027750,g,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0
chris simms,SimmCh00,230.0,76.0,,,,4.84,,,,,4.21,31.0,103.0,,00-0022005,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris snee,SneeCh20,305.0,75.0,,,,5.1,,,,,4.67,30.5,104.0,29.0,00-0022838,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris spencer,SpenCh21,308.0,75.0,,,,5.21,,,,,4.61,32.0,105.0,26.0,00-0023461,c,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chris terry,TerrCh20,295.0,77.0,,,,5.07,,,,,4.41,31.0,108.0,,00-0016183,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
chris wells,WellCh00,229.0,74.0,,,,4.52,,,,,,33.5,128.0,25.0,00-0027007,rb,rb,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,0
chris wilcox,WilcCh00,195.0,74.0,31.625,76.625,9.875,4.39,,1.54,2.62,7.19,4.3,37.5,126.0,,00-0036667,cb,db,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
christian barmore,BarmCh00,315.0,77.0,33.625,81.375,10.0,4.98,,1.76,2.88,7.81,4.75,,,,00-0036981,dt,dl,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
christian darrisaw,DarrCh00,315.0,77.0,34.25,82.125,9.25,,,,,,,,,,00-0036616,ot,ol,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
christian gonzalez,GonzCh00,205.0,73.0,32.0,76.875,9.5,4.38,,1.54,,,,41.5,133.0,14.0,00-0039147,cb,db,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
christian hackenberg,HackCh01,228.0,76.0,32.0,,9.0,4.78,,1.64,,7.04,4.33,31.0,114.0,,00-0032953,qb,qb,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
christian harris,HarrCh06,232.0,74.0,32.125,76.75,9.625,4.44,,1.54,,,,35.0,132.0,,00-0037823,lb,lb,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
christian haynes,HaynCh00,318.0,75.0,33.5,79.75,9.0,5.03,,,,,,33.0,102.0,,00-0039839,g,ol,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
christian jones,JoneCh12,305.0,77.0,34.5,83.625,10.625,5.04,,,,,,,,,00-0039382,ot,ol,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1
christian kirk,KirkCh01,200.0,71.0,30.375,72.875,9.875,4.47,12.03,,,7.09,4.45,35.5,115.0,20.0,00-0034775,wr,wr,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
christian kirksey,KirkCh00,235.0,74.0,32.375,,9.375,,,,,,,32.0,122.0,16.0,00-0031361,olb,lb,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0
christian mahogany,MahoCh00,327.0,75.0,33.5,81.625,10.5,,,,,,,32.5,109.0,,00-0039408,g,ol,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1
christian mccaffrey,McCaCh01,210.0,71.0,30.0,,9.0,4.48,11.03,,,6.57,4.22,37.5,121.0,10.0,00-0033280,rb,rb,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0
christian ponder,PondCh00,230.0,74.0,32.125,,10.25,4.63,,,,,4.09,34.0,116.0,,00-0027950,qb,qb,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1
christian watson,WatsCh00,208.0,76.0,32.5,77.625,10.125,4.36,,1.46,,,,38.5,136.0,,00-0038124,wr,wr,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,1
christian westerman,WestCh02,305.0,75.0,33.5,,11.875,5.17,,1.79,,7.69,4.71,25.0,98.0,34.0,00-0033039,g,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
christine michael,MichCh00,220.0,70.0,31.5,,9.375,4.54,11.56,1.51,2.51,6.69,4.02,43.0,125.0,27.0,00-0030432,rb,rb,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
christopher carson,CarsCh00,222.0,71.0,33.25,,9.625,4.58,,,,,,37.0,130.0,23.0,00-0033594,rb,rb,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
christopher thompson,ThomCh03,195.0,68.0,,,,,,,,,,,,,00-0030404,rb,rb,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
chuba hubbard,HubbCh01,210.0,73.0,32.0,75.75,9.0,4.51,,1.56,2.61,7.28,4.3,36.0,120.0,20.0,00-0036555,rb,rb,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
chuck clark,ClarCh00,209.0,72.0,32.25,,9.0,4.54,,,,6.85,4.07,34.0,122.0,16.0,00-0033294,db,db,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
chukky okobi,OkobCh20,305.0,73.0,,,,5.27,,,,,4.61,32.5,103.0,24.0,00-0020255,c,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
chukwuma okorafor,OkorCh00,320.0,78.0,34.5,83.375,10.25,5.31,,,,7.87,4.8,23.5,102.0,19.0,00-0034768,ot,ol,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
chuma edoga,EdogCh00,315.0,76.0,34.75,81.5,9.625,5.19,,,,,,,,21.0,00-0035698,ot,ol,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0
clarence moore,MoorCl00,220.0,78.0,,,,4.55,,,,,4.21,34.0,122.0,,00-0022826,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
clark phillips iii,PhilCl00,185.0,69.0,29.125,,9.125,4.51,,1.51,,,4.32,33.0,,18.0,00-0038568,cb,db,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0
claude terrell,TerrCl20,330.0,74.0,,,,5.42,,,,,4.81,24.5,89.0,27.0,00-0023568,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
clay harbor,HarbCl00,240.0,75.0,32.625,,9.5,4.62,,,,,4.37,40.0,120.0,30.0,00-0027725,te,te,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
clay johnston,JohnCl00,232.0,73.0,30.5,,9.0,,,,,,,,,18.0,00-0036432,lb,lb,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0
clay matthews,MattCl99,255.0,75.0,32.25,,9.5,4.62,,1.49,,6.9,4.18,35.5,121.0,23.0,00-0027002,olb,lb,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
clayton thorson,ThorCl00,222.0,76.0,31.125,76.5,9.75,,,,,,,,,,00-0035283,qb,qb,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1
clayton tune,TuneCl00,220.0,75.0,31.375,,9.375,4.64,,1.55,,6.89,4.25,37.5,122.0,,00-0038582,qb,qb,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
cletidus hunt,HuntCl20,310.0,76.0,,,,4.98,,,,,4.73,31.5,111.0,17.0,00-0007929,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
cliff russell,RussCl00,190.0,71.0,,,,4.36,,,,,,,,,00-0021212,wr,wr,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1
clifton ryan,RyanCl99,324.0,75.0,,,,5.12,,,,,4.69,26.5,102.0,25.0,00-0025541,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,0,0
clint boling,BoliCl00,305.0,77.0,33.5,,9.25,5.28,,,,,4.64,31.0,102.0,28.0,00-0028039,g,ol,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0
clive walford,WalfCl00,252.0,76.0,34.0,,10.25,4.79,,1.66,,7.32,4.57,35.0,120.0,20.0,00-0032256,te,te,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
clyde edwards-helaire,EdwaCl00,207.0,67.0,29.0,,9.625,4.6,,,,,,39.5,123.0,15.0,00-0036360,rb,rb,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
cobi hamilton,HamiCo00,201.0,74.0,32.5,,8.75,4.56,,1.63,,,4.31,29.5,107.0,11.0,00-0030290,wr,wr,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0
coby bryant,BryaCo01,193.0,73.0,30.625,73.625,9.375,4.54,,1.54,,,,,,17.0,00-0038136,cb,db,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
coby fleener,FleeCo00,251.0,78.0,33.375,,10.0,,,,,,,,,27.0,00-0029697,te,te,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
cody barton,BartCo00,237.0,74.0,31.875,76.25,9.25,4.64,11.47,,,6.9,4.03,32.5,116.0,30.0,00-0035672,lb,lb,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
cody core,CoreCo00,205.0,75.0,32.0,,10.375,4.47,,1.54,,,,31.5,119.0,14.0,00-0032795,wr,wr,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
cody ford,FordCo00,345.0,75.0,34.0,82.5,9.75,5.21,,,,8.27,4.87,28.5,104.0,19.0,00-0035238,ot,ol,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
cody kessler,KessCo00,215.0,73.0,32.625,,10.875,4.89,,1.68,,7.32,4.0,29.5,104.0,,00-0033104,qb,qb,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
cody latimer,LatiCo00,222.0,75.0,32.625,,9.625,4.44,,,,,,39.0,,23.0,00-0031344,wr,wr,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0
cody lindenberg,LindCo00,236.0,74.0,32.75,77.625,9.0,,,,,,,,,,00-0040228,lb,lb,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cody pickett,PickCo00,227.0,75.0,,,,4.79,,,,,4.32,30.5,109.0,,00-0022731,qb,qb,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,1
cody simon,SimoCo01,229.0,74.0,31.25,75.75,9.75,,,,,,,,,,00-0040645,lb,lb,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cody wallace,WallCo20,296.0,76.0,,,,5.3,,,,,4.55,30.5,113.0,26.0,00-0026247,c,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
cody whitehair,WhitCo03,316.0,75.0,32.375,,10.125,5.08,,1.73,,7.32,4.58,25.5,110.0,16.0,00-0032768,g,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
colby gossett,GossCo00,311.0,77.0,33.875,79.25,10.0,5.2,,,,7.6,4.83,25.0,103.0,32.0,00-0034165,g,ol,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0
colby parkinson,ParkCo02,265.0,79.0,33.25,,9.625,4.77,,,,7.15,4.46,32.5,109.0,18.0,00-0036244,te,te,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
cole kmet,KmetCo00,257.0,78.0,33.0,,10.5,4.7,,,,7.44,4.41,37.0,123.0,,00-0036290,te,te,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
cole toner,ToneCo00,310.0,77.0,33.125,,9.75,5.32,,1.83,,7.88,4.59,26.0,103.0,22.0,00-0032787,ot,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
cole turner,TurnCo00,240.0,78.0,33.0,78.25,9.75,4.76,,1.71,,7.06,4.41,27.0,120.0,17.0,00-0037078,te,te,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
colin kaepernick,KaepCo00,230.0,76.0,33.5,,9.125,4.53,,,,6.85,4.18,32.5,115.0,,00-0027974,qb,qb,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
collin johnson,JohnCo01,220.0,78.0,31.75,,9.0,,,,,,,,,17.0,00-0036254,wr,wr,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
collin oliver,OlivCo00,240.0,74.0,30.75,76.125,9.5,4.56,,1.57,,,,39.0,126.0,,00-0040012,lb,lb,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1
colston loveland,LoveCo00,241.0,78.0,32.75,,10.0,,,,,,,,,,00-0040126,te,te,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
colt mccoy,McCoCo00,212.0,73.0,31.0,,9.375,4.79,,,,,,,114.0,,00-0027688,qb,qb,0,1,0,0,0,1,0,0,1,1,1,1,1,1,0,1
connor cook,CookCo00,215.0,76.0,33.0,,9.75,4.79,,1.68,,7.21,4.28,33.0,113.0,,00-0032893,qb,qb,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1
connor heyward,HeywCo00,230.0,72.0,31.875,76.25,9.5,4.72,,1.63,,,,32.5,,,00-0037304,te,te,0,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1
connor mcgovern,McGoCo00,306.0,76.0,32.875,,10.375,5.11,,1.73,,7.5,4.65,33.0,109.0,33.0,00-0033011,g,ol,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
conor mcdermott,McDeCo00,305.0,80.0,34.75,,11.0,5.18,,,,7.52,4.58,28.5,105.0,,00-0033300,ot,ol,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
cooper beebe,BeebCo00,330.0,76.0,31.5,78.125,9.25,5.03,,,,,,27.5,109.0,,00-0039348,g,ol,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,1
cooper carlisle,CarlCo20,310.0,77.0,,,,5.16,,,,,4.48,31.0,100.0,28.0,00-0019632,g,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
cooper dejean,DeJeCo00,198.0,72.0,31.375,74.875,9.625,,,,,,,,,,00-0039841,cb,db,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cooper kupp,KuppCo00,205.0,74.0,31.5,,9.5,4.62,,,,6.75,4.08,31.0,116.0,,00-0033908,wr,wr,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
cordale flott,FlotCo00,175.0,73.0,30.125,73.875,8.0,,,,,,,,,,00-0037758,cb,db,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
cordrea tankersley,TankCo00,200.0,73.0,32.25,,9.125,4.4,,,,7.0,4.32,29.5,121.0,13.0,00-0033462,cb,db,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0
corey clark,ClarCo21,325.0,77.0,,,,5.28,,,,,4.68,23.0,106.0,23.0,00-0026374,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
corey coleman,ColeCo00,185.0,71.0,30.25,,9.0,4.37,,,,,,40.5,129.0,17.0,00-0032966,wr,wr,0,1,0,0,0,1,0,0,1,1,1,1,1,0,0,0
corey davis,DaviCo03,209.0,75.0,33.0,,9.125,,,,,,,,,,00-0033871,wr,wr,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1
corey fuller,FullCo00,200.0,74.0,33.25,,9.5,4.43,,1.49,,,,31.5,120.0,12.0,00-0030095,wr,wr,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0
corey hilliard,HillCo21,300.0,78.0,,,,5.29,,,,,4.65,27.0,106.0,28.0,00-0025596,ot,ol,0,1,0,0,1,1,1,0,1,1,1,1,0,0,0,0
corey linsley,LinsCo00,301.0,75.0,32.0,,9.875,,,,,,,27.0,,36.0,00-0031019,c,ol,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0
corey liuget,LiugCo00,300.0,74.0,33.25,,9.5,4.97,,,,,4.68,27.5,102.0,27.0,00-0027956,dt,dl,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0
corey robinson,RobiCo00,315.0,79.0,35.625,,10.75,,,,,,,,,28.0,00-0031627,ot,ol,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
corey webster,WebsCo20,200.0,72.0,,,,4.51,,,,,,,,9.0,00-0023478,cb,db,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,0
corey williams,WillCo21,320.0,76.0,,,,5.18,,,,,4.55,28.0,,25.0,00-0022906,dt,dl,1,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0
corn elder,EldeCo00,185.0,70.0,31.25,,8.75,4.55,,,,,,,,,00-0033289,cb,db,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1
cornelius ingram,IngrCo00,250.0,76.0,34.5,,9.75,4.68,,,,7.12,4.53,33.0,114.0,21.0,00-0026917,te,te,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0
