team,season,team_avg_height,team_avg_weight,pass_epa,dropbacks,rush_epa,rush_attempts,total_off_plays,off_epa_per_play,pass_epa_allowed,dropbacks_faced,rush_epa_allowed,rush_attempts_faced,total_def_plays,def_epa_per_play,team_qb_epa,off_epa_prior,def_epa_prior,first_season_flag,net_epa_per_play
MIA,2016,74.19354838709677,244.8494623655914,34.90721985050663,520.0,-25.537177755902086,405.0,925.0,0.010129775237410316,26.465404054725518,657.0,-1.3527785246854451,464.0,1121.0,0.022401985307796676,0.01717394672960874,-0.03308889225955589,0.056782326419693635,0,-0.01227221007038636
MIA,2017,74.34375,244.16666666666666,-67.76319128791354,645.0,-56.14798666582973,361.0,1006.0,-0.12317214508324381,76.9110137596804,575.0,-42.375118216232664,432.0,1007.0,0.03429582477005733,-0.09329473526040258,0.010129775237410316,0.022401985307796676,0,-0.15746796985330114
MIA,2018,74.15217391304348,245.72826086956522,-52.23332525062655,517.0,-39.23008330604103,371.0,888.0,-0.10299933396021124,69.0730189510791,566.0,-2.9529829503249996,486.0,1052.0,0.06285174524786513,-0.1316835523794172,-0.12317214508324381,0.03429582477005733,0,-0.16585107920807637
MIA,2019,74.19642857142857,244.70535714285714,-27.63943393733152,714.0,-57.85464825889382,349.0,1063.0,-0.08042717045740859,137.1560177701363,576.0,-8.968206660298215,487.0,1063.0,0.12059060311367645,-0.0693412707725745,-0.10299933396021124,0.06285174524786513,0,-0.20101777357108502
MIA,2020,74.1685393258427,242.7191011235955,46.00603257222545,627.0,-33.93915665996371,429.0,1056.0,0.011426965826005438,-35.56149900550362,606.0,-0.8304672597958562,412.0,1018.0,-0.035748493384380624,0.049023849601210055,-0.08042717045740859,0.12059060311367645,0,0.04717545921038606
MIA,2021,74.09574468085107,240.38297872340425,6.426694878385479,688.0,-58.10777029026222,442.0,1130.0,-0.04573546496626261,-24.117752395090715,671.0,-15.902992286249594,426.0,1097.0,-0.03648199150532389,-0.008052114711221407,0.011426965826005438,-0.035748493384380624,0,-0.009253473460938716
MIA,2022,74.4040404040404,245.3838383838384,57.06441756437337,638.0,-15.550352683503718,390.0,1028.0,0.04038333159617671,46.91839787322134,696.0,-19.41936728226529,424.0,1120.0,0.024552705884782183,0.08311417776251778,-0.04573546496626261,-0.03648199150532389,0,0.015830625711394524
MIA,2023,74.11111111111111,241.33333333333334,95.40037498997063,613.0,-11.816735728135733,456.0,1069.0,0.078188624192549,-3.9267903300561215,655.0,-21.25795121341885,433.0,1088.0,-0.02314774038922332,0.1846791286403567,0.04038333159617671,0.024552705884782183,0,0.10133636458177232
MIA,2024,73.86915887850468,241.2429906542056,53.999460306188865,660.0,-83.32380278255759,448.0,1108.0,-0.026466013065314736,10.621971320339316,626.0,-27.024454708356824,408.0,1034.0,-0.015863136738895077,0.15241736381593365,0.078188624192549,-0.02314774038922332,0,-0.01060287632641966
MIA,2025,74.01941747572816,242.40952380952382,-4.528491856767585,533.0,-12.381004214884618,432.0,965.0,-0.017522793856634408,98.1666951330935,593.0,11.96249537754355,472.0,1065.0,0.10340769062031648,0.0047556805044355055,-0.026466013065314736,-0.015863136738895077,0,-0.12093048447695089
MIN,1999,74.07352941176471,242.8235294117647,38.98995072585941,556.0,-33.42197819759844,422.0,978.0,0.0056932234440296185,49.765616170170915,642.0,-68.60388371557372,415.0,1057.0,-0.01782239124446812,,,,1,0.02351561468849774
MIN,2000,73.9047619047619,247.03174603174602,112.41333920868227,567.0,25.16718321258407,428.0,995.0,0.13827188183041844,85.60039514139027,627.0,-0.9058478971656915,399.0,1026.0,0.08254829166103761,0.20048786845924507,0.0056932234440296185,-0.01782239124446812,0,0.05572359016938083
MIN,2001,73.84057971014492,246.17391304347825,-32.17932174913193,640.0,-12.475235253147755,378.0,1018.0,-0.04386498723210185,60.74954521130842,531.0,-15.733964117159573,478.0,1009.0,0.04461405460272433,-0.11163039895974101,0.13827188183041844,0.08254829166103761,0,-0.08847904183482619
MIN,2002,73.98412698412699,246.44444444444446,37.85448080317963,661.0,57.785986701075664,475.0,1136.0,0.08419055238050642,126.39108314125836,585.0,-41.98539547277174,396.0,981.0,0.08604045633892622,0.03472589323189959,-0.04386498723210185,0.04461405460272433,0,-0.0018499039584198018
MIN,2003,73.76923076923077,243.2,83.52310072194871,561.0,12.60603098836956,492.0,1053.0,0.09129072337162228,-30.170844204654234,571.0,-0.9952928346890048,388.0,959.0,-0.032498578768866776,0.1143901559822782,0.08419055238050642,0.08604045633892622,0,0.12378930214048905
MIN,2004,74.0923076923077,244.64615384615385,172.98520253433693,597.0,-18.2967089292044,389.0,986.0,0.15688488195246705,100.18470662144176,582.0,12.988254396200384,435.0,1017.0,0.11128118094163436,0.3001896910894496,0.09129072337162228,-0.032498578768866776,0,0.04560370101083269
MIN,2005,74.03125,244.03125,-30.761524295633578,562.0,-53.26316739436387,382.0,944.0,-0.0890092072987261,-10.046853713441088,566.0,-46.23408958052756,464.0,1030.0,-0.05464169251841616,-0.1352309404026736,0.15688488195246705,0.11128118094163436,0,-0.03436751478030994
MIN,2006,73.96825396825396,243.85714285714286,-115.13882622804991,608.0,-41.58175822237479,445.0,1053.0,-0.14883246386555052,-44.33481615120174,633.0,-92.87070910190918,349.0,982.0,-0.1397204941477708,-0.325939071698236,-0.0890092072987261,-0.05464169251841616,0,-0.009111969717779722
MIN,2007,74.12068965517241,249.44827586206895,-18.167678088113306,494.0,0.2920627536876178,498.0,992.0,-0.01801977352260654,1.8618032158068125,696.0,-105.32968186690911,380.0,1076.0,-0.09615973852332928,-0.06566790953767201,-0.14883246386555052,-0.1397204941477708,0,0.07813996500072273
MIN,2008,74.13559322033899,247.28813559322035,-26.96327125878807,510.0,-23.405578200557642,518.0,1028.0,-0.048996935271737076,-24.823733442975797,589.0,-74.39512089632287,372.0,961.0,-0.10324542595140339,-0.021297371838611974,-0.01801977352260654,-0.09615973852332928,0,0.05424849067966631
MIN,2009,74.03571428571429,245.85714285714286,138.72746693487784,587.0,-71.63861974380497,468.0,1055.0,0.06359132435172785,0.1361539988617746,602.0,-69.2405156125051,358.0,960.0,-0.0719837100142118,0.6935723211432145,-0.048996935271737076,-0.10324542595140339,0,0.13557503436593965
MIN,2010,74.21538461538462,243.98461538461538,-80.1088758169614,564.0,-33.53885933071724,441.0,1005.0,-0.1130823235300285,-3.2124602839996736,582.0,-43.03858501391374,417.0,999.0,-0.04629734264055397,-0.22414460277209713,0.06359132435172785,-0.0719837100142118,0,-0.06678498088947454
MIN,2011,74.07575757575758,242.87878787878788,-43.054281925748754,597.0,31.872064257090035,448.0,1045.0,-0.010700686764266717,105.34433183989603,608.0,-50.70520630846689,440.0,1048.0,0.05213657016357742,-0.1704715134654274,-0.1130823235300285,-0.04629734264055397,0,-0.06283725692784414
MIN,2012,74.5,244.41071428571428,-3.2550620219489947,555.0,7.172387415294745,487.0,1042.0,0.0037594293602166507,60.84452794602832,690.0,-48.927210269477264,428.0,1118.0,0.010659497027326527,-0.024394573870930285,-0.010700686764266717,0.05213657016357742,0,-0.006900067667109876
MIN,2013,74.5,244.171875,-46.296025987345814,627.0,17.467643558195515,423.0,1050.0,-0.027455602313476477,124.10893109324715,709.0,-22.480916672065742,443.0,1152.0,0.08821876251838663,-0.1260891259084402,0.0037594293602166507,0.010659497027326527,0,-0.11567436483186311
MIN,2014,74.35384615384615,246.16923076923078,-12.774538213473239,603.0,-3.201392932334559,415.0,1018.0,-0.015693449062679568,27.129427973245157,594.0,-15.984535993936346,451.0,1045.0,0.010664968401252452,-0.040282835948391424,-0.027455602313476477,0.08821876251838663,0,-0.02635841746393202
MIN,2015,74.25806451612904,245.51612903225808,7.620615823602801,527.0,3.7961292948308163,475.0,1002.0,0.011393957204025567,0.8603114688198099,626.0,-34.08358335673102,413.0,1039.0,-0.03197620008461137,-0.008399578251366589,-0.015693449062679568,0.010664968401252452,0,0.04337015728863694
MIN,2016,74.48275862068965,249.20454545454547,44.6614781033059,635.0,-98.56056271510774,382.0,1017.0,-0.052998116629107014,-35.63704282470308,606.0,-56.38694841572282,405.0,1011.0,-0.09102274108845292,0.059897873596161,0.011393957204025567,-0.03197620008461137,0,0.0380246244593459
MIN,2017,74.40449438202248,243.37078651685394,70.26717581249655,574.0,-65.53568758613841,502.0,1076.0,0.004397293890667415,-93.73160660124506,607.0,-55.346001792321175,365.0,972.0,-0.15337202509626155,0.2711438647406976,-0.052998116629107014,-0.09102274108845292,0,0.15776931898692897
