pfr_id,gsis_id,position,position_group,def_pos_flag,off_pos_flag,draft_round,draft_pick
DougBr00,00-0032446,qb,qb,0,1,7.0,223.0
FlowBr99,00-0026175,cb,db,1,0,2.0,35.0
FryeBr21,00-0025550,ot,ol,0,1,5.0,163.0
HogaBr00,00-0028036,cb,db,1,0,4.0,98.0
JackBr00,00-0025450,rb,rb,0,1,2.0,63.0
JacoBr00,00-0023545,rb,rb,0,1,4.0,110.0
JoneBr02,00-0023531,wr,wr,0,1,3.0,96.0
KeitBr20,00-0026365,ot,ol,0,1,7.0,225.0
LaFeBr00,00-0027681,wr,wr,0,1,3.0,78.0
LloyBr00,00-0022097,wr,wr,0,1,4.0,124.0
ManuBr00,00-0020342,te,te,0,1,4.0,129.0
MarsBr00,00-0024334,wr,wr,0,1,4.0,119.0
MebaBr99,00-0025472,dt,dl,1,0,3.0,85.0
ParkBr01,00-0034763,ot,ol,0,1,3.0,65.0
PettBr00,00-0026996,te,te,0,1,1.0,20.0
ShelBr00,00-0032420,ot,ol,0,1,5.0,158.0
SmitBr08,00-0038113,lb,lb,1,0,4.0,120.0
StepBr01,00-0036987,cb,db,1,0,3.0,104.0
StokBr00,00-0015754,wr,wr,0,1,4.0,105.0
ThomBr01,00-0029684,dt,dl,1,0,3.0,93.0
WashBr00,00-0029426,g,ol,0,1,6.0,200.0
WeedBr00,00-0029677,qb,qb,0,1,1.0,22.0
WillBr01,00-0024299,wr,wr,0,1,3.0,84.0
SmitBr09,00-0040078,rb,rb,0,1,7.0,228.0
BerrBr00,00-0034419,wr,wr,0,1,6.0,210.0
MillBr03,00-0033069,wr,wr,0,1,3.0,85.0
WillBr06,00-0038643,te,te,0,1,7.0,247.0
EdwaBr00,00-0023438,wr,wr,0,1,1.0,3.0
HallBr03,00-0038120,rb,rb,0,1,2.0,36.0
JaimBr00,00-0036636,ot,ol,0,1,5.0,159.0
RiceBr00,00-0039415,wr,wr,0,1,7.0,225.0
GiacBr20,00-0026290,ot,ol,0,1,5.0,150.0
CeleBr00,00-0025549,te,te,0,1,5.0,162.0
StraBr00,00-0038935,te,te,0,1,2.0,61.0
PerrBr02,00-0032054,wr,wr,0,1,1.0,26.0
HundBr00,00-0031589,qb,qb,0,1,5.0,147.0
WillBr21,00-0021972,ot,ol,0,1,4.0,113.0
JordBr00,00-0036556,te,te,0,1,5.0,147.0
AlleBr02,00-0034804,c,ol,0,1,4.0,111.0
AlleBr20,00-0021311,rb,rb,0,1,6.0,204.0
AlleBr21,00-0020295,olb,lb,1,0,3.0,83.0
AsamBr00,00-0037822,lb,lb,1,0,3.0,66.0
BrohBr00,00-0026196,qb,qb,0,1,2.0,56.0
CalhBr00,00-0024289,rb,rb,0,1,3.0,74.0
HartBr00,00-0027077,wr,wr,0,1,4.0,108.0
HillBr02,00-0033567,rb,rb,0,1,5.0,156.0
LeonBr00,00-0025439,rb,rb,0,1,2.0,52.0
ONeiBr00,00-0034158,ot,ol,0,1,2.0,62.0
PricBr99,00-0027650,dt,dl,1,0,2.0,35.0
QuicBr00,00-0029640,wr,wr,0,1,2.0,33.0
RobiBr01,00-0037746,rb,rb,0,1,3.0,98.0
RobiBr00,00-0027012,wr,wr,0,1,2.0,36.0
SchwBr00,00-0030486,c,ol,0,1,4.0,107.0
St.PBr20,00-0022101,qb,qb,0,1,5.0,163.0
ThomBr06,00-0039893,wr,wr,0,1,1.0,23.0
WestBr00,00-0021216,rb,rb,0,1,3.0,91.0
WintBr00,00-0030066,g,ol,0,1,3.0,72.0
BoweBr01,00-0039338,te,te,0,1,1.0,13.0
HuarBr00,00-0007834,qb,qb,0,1,3.0,77.0
OsweBr00,00-0029682,qb,qb,0,1,2.0,57.0
PurdBr00,00-0037834,qb,qb,0,1,7.0,262.0
JoneBr09,00-0039109,ot,ol,0,1,1.0,14.0
CroyBr00,00-0024300,qb,qb,0,1,3.0,85.0
EldrBr00,00-0027761,te,te,0,1,5.0,162.0
FostBr00,00-0027111,wr,wr,0,1,5.0,160.0
CampBr20,00-0027707,ot,ol,0,1,4.0,106.0
ElliBr00,00-0031326,wr,wr,0,1,4.0,106.0
GradBr00,00-0024408,qb,qb,0,1,6.0,194.0
NelsBr20,00-0022125,c,ol,0,1,2.0,50.0
ThorBr21,00-0022868,cb,db,1,0,4.0,121.0
BulaBr20,00-0027875,ot,ol,0,1,1.0,23.0
EdwaBr01,00-0036365,wr,wr,0,1,3.0,81.0
StorBr00,00-0031174,c,ol,0,1,4.0,105.0
McFaBr20,00-0023497,cb,db,1,0,2.0,62.0
HallBr02,00-0036241,cb,db,1,0,5.0,158.0
LoveBr00,00-0035256,rb,rb,0,1,4.0,112.0
PettBr01,00-0031568,qb,qb,0,1,4.0,103.0
YounBr01,00-0039150,qb,qb,0,1,1.0,1.0
HopkBr01,00-0036424,te,te,0,1,4.0,136.0
MeanBu00,00-0039386,wr,wr,0,1,5.0,170.0
