passer_player_id,season,passing_epa,qb_epa,dropbacks,epa_per_dropback,qb_epa_per_dropback,epa_per_dropback_prior,rookie_flag,qb_epa_per_dropback_prior,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0011022,2010,-30.81509726300083,-10.10275744626943,509.0,-0.06054046613556155,-0.019848246456325012,0.07415278207075447,0,0.08356002558229096,12,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011022,2011,-22.37687224879126,-17.455171481491632,172.0,-0.13009809446971662,-0.10148355512495134,-0.06054046613556155,0,-0.019848246456325012,13,1.0,2.0,240.0,74.0,,,,4.64,,,,,4.38,33.0,117.0,,00-0011022,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011044,1999,-19.68312902278259,-19.68312902278259,247.0,-0.07968878146875542,-0.07968878146875542,0.0,1,0.0,1,1.0,12.0,210.0,73.0,,,,4.73,,,,,4.28,33.5,113.0,,00-0011044,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0011044,2000,-65.73735214957055,-50.32025209640638,304.0,-0.2162412899656926,-0.16552714505396834,-0.07968878146875542,0,-0.07968878146875542,2,1.0,12.0,210.0,73.0,,,,4.73,,,,,4.28,33.5,113.0,,00-0011044,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0015082,1999,-41.42005230097733,-41.42005230097733,170.0,-0.24364736647633725,-0.24364736647633725,0.0,1,0.0,1,1.0,3.0,220.0,75.0,,,,4.66,,,,,4.29,34.0,114.0,,00-0015082,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0015082,2000,-94.46044426870459,-94.46044426870459,297.0,-0.3180486339013623,-0.3180486339013623,-0.24364736647633725,0,-0.24364736647633725,2,1.0,3.0,220.0,75.0,,,,4.66,,,,,4.29,34.0,114.0,,00-0015082,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0015082,2002,-27.183673086343333,-27.183673086343333,36.0,-0.7551020301762037,-0.7551020301762037,0.26053064782495816,0,0.26053064782495816,4,1.0,3.0,220.0,75.0,,,,4.66,,,,,4.29,34.0,114.0,,00-0015082,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019553,2000,-51.554246960324235,-51.554246960324235,66.0,-0.7811249539443066,-0.7811249539443066,0.0,1,0.0,1,6.0,183.0,226.0,75.0,,,,4.91,,,,,4.59,34.0,108.0,,00-0019553,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019553,2001,-50.21207719261511,-45.97499188548173,108.0,-0.46492664067236217,-0.425694369310016,-0.7811249539443066,0,-0.7811249539443066,2,6.0,183.0,226.0,75.0,,,,4.91,,,,,4.59,34.0,108.0,,00-0019553,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0019559,2001,-2.750727949256543,-2.750727949256543,21.0,-0.13098704520269253,-0.13098704520269253,1.1797058232865918,0,1.1797058232865918,2,1.0,18.0,225.0,75.0,,,,4.81,,,,,4.16,33.5,111.0,,00-0019559,qb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
