receiver_player_id,season,receiving_epa,targets,epa_per_target,epa_per_target_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0020452,2003,30.285070042048652,35,0.8652877154871044,0.6880800533049503,0,2,6.0,169.0,183.0,70.0,,,,4.48,,,,,,38.0,123.0,,00-0020452,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020452,2004,66.12009503040463,47,1.4068105325618006,0.8652877154871044,0,3,6.0,169.0,183.0,70.0,,,,4.48,,,,,,38.0,123.0,,00-0020452,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020452,2005,36.40650247492691,26,1.4002500951894965,1.4068105325618006,0,4,6.0,169.0,183.0,70.0,,,,4.48,,,,,,38.0,123.0,,00-0020452,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020452,2006,41.20569622854512,37,1.1136674656363545,1.4002500951894965,0,5,6.0,169.0,183.0,70.0,,,,4.48,,,,,,38.0,123.0,,00-0020452,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020476,2004,-3.2650909712728584,25,-0.13060363885091433,0.5024309270028738,0,4,3.0,90.0,255.0,76.0,,,,4.85,,,,,4.15,34.0,113.0,20.0,00-0020476,te,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020485,2004,26.693007984897122,20,1.3346503992448562,7.458468275144696,0,4,5.0,159.0,195.0,71.0,,,,4.43,,,,,4.08,39.5,122.0,,00-0020485,wr,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020490,2001,19.865781284981036,78,0.25468950365360304,0.0,1,1,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020490,2002,45.209207066514914,141,0.3206326742306022,0.25468950365360304,0,2,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020490,2003,72.75228927440445,65,1.1192659888369916,0.3206326742306022,0,3,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
00-0020490,2004,38.87182011437422,31,1.2539296811088458,1.1192659888369916,0,4,1.0,9.0,205.0,73.0,,,,4.61,,,,,,38.5,123.0,,00-0020490,wr,0,0,1,1,1,0,1,1,1,1,1,0,0,1
