defender_id,season,total_def_epa,plays,def_epa_per_play,def_epa_per_play_prior,rookie_flag,years_experience,draft_round,draft_pick,weight_lbs,height_in,arm_length_in,wing_span_in,hand_size_in,yard_40_dash_sec,yard_60_shuttle_sec,yard_10_split_sec,yard_20_split_sec,cone_drill_sec,yard_20_shuttle_sec,vert_jump_in,broad_jump_in,bench_press_reps,gsis_id,position_group,missing_weight_lbs,missing_height_in,missing_arm_length_in,missing_wing_span_in,missing_hand_size_in,missing_yard_40_dash_sec,missing_yard_60_shuttle_sec,missing_yard_10_split_sec,missing_yard_20_split_sec,missing_cone_drill_sec,missing_yard_20_shuttle_sec,missing_vert_jump_in,missing_broad_jump_in,missing_bench_press_reps
00-0020408,2001,2.645944978983607,35,0.07559842797096021,0.0,1,1,4.0,122.0,240.0,75.0,,,,4.62,,,,,4.5,33.0,119.0,,00-0020408,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020408,2002,-4.443557440012228,22,-0.20197988363691943,0.07559842797096021,0,2,4.0,122.0,240.0,75.0,,,,4.62,,,,,4.5,33.0,119.0,,00-0020408,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0020447,2001,-18.317791833646506,51,-0.35917238889502956,0.0,1,1,3.0,67.0,180.0,69.0,,,,4.55,,,,,,,,11.0,00-0020447,db,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020449,2001,0.8946877268608655,25,0.03578750907443462,0.0,1,1,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2002,-0.6040528390440167,34,-0.017766259971882845,0.03578750907443462,0,2,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2003,-0.31419185647973824,46,-0.006830257749559527,-0.017766259971882845,0,3,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2004,-2.8102409232524233,53,-0.05302341364627214,-0.006830257749559527,0,4,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2005,-18.761778403278203,62,-0.30260932908513233,-0.05302341364627214,0,5,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2006,14.04170125751989,56,0.25074466531285516,-0.30260932908513233,0,6,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2007,-7.6421492215839235,66,-0.11579013972096854,0.25074466531285516,0,7,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020449,2008,-7.461013536376413,24,-0.3108755640156839,-0.11579013972096854,0,8,3.0,88.0,241.0,72.0,,,,4.69,,,,,4.08,33.5,112.0,21.0,00-0020449,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020454,2001,-20.667009744938696,43,-0.4806281336032255,0.0,1,1,6.0,179.0,191.0,71.0,,,,4.58,,,,,3.85,42.0,129.0,6.0,00-0020454,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020454,2002,-22.463667748699663,22,-1.0210758067590755,-0.4806281336032255,0,2,6.0,179.0,191.0,71.0,,,,4.58,,,,,3.85,42.0,129.0,6.0,00-0020454,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020473,2001,-37.061886417889326,59,-0.6281675664049038,0.0,1,1,3.0,69.0,197.0,70.0,,,,4.46,,,,,4.18,36.0,119.0,15.0,00-0020473,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020473,2002,-48.554078137617225,53,-0.9161146818418344,-0.6281675664049038,0,2,3.0,69.0,197.0,70.0,,,,4.46,,,,,4.18,36.0,119.0,15.0,00-0020473,db,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0020491,2004,18.786483477183648,24,0.782770144882652,0.078043106792029,0,4,1.0,12.0,301.0,74.0,,,,4.9,,,,,,,,22.0,00-0020491,dl,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020491,2005,10.099769669264788,22,0.4590804395120358,0.782770144882652,0,5,1.0,12.0,301.0,74.0,,,,4.9,,,,,,,,22.0,00-0020491,dl,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020491,2008,10.134011956667987,29,0.3494486881609651,0.4761267090504115,0,8,1.0,12.0,301.0,74.0,,,,4.9,,,,,,,,22.0,00-0020491,dl,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020491,2009,4.645524218800375,25,0.185820968752015,0.3494486881609651,0,9,1.0,12.0,301.0,74.0,,,,4.9,,,,,,,,22.0,00-0020491,dl,0,0,1,1,1,0,1,1,1,1,1,1,1,0
00-0020506,2003,2.6076511277933596,21,0.12417386322825522,0.40035289505348454,0,3,3.0,81.0,303.0,76.0,,,,5.24,,,,,4.8,30.0,100.0,,00-0020506,dl,0,0,1,1,1,0,1,1,1,1,0,0,0,1
00-0021085,2002,1.873655594485377,52,0.03603183835548802,0.0,1,1,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2003,-6.341159705334576,66,-0.09607817735355417,0.03603183835548802,0,2,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2004,-1.9384621966771527,80,-0.024230777458464407,-0.09607817735355417,0,3,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2005,21.192610009932466,70,0.3027515715704638,-0.024230777458464407,0,4,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2006,17.464498469950538,92,0.18983150510815802,0.3027515715704638,0,5,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2007,16.552628359719108,89,0.18598458831145065,0.18983150510815802,0,6,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
00-0021085,2008,-12.242357434297446,49,-0.24984402927137644,0.18598458831145065,0,7,3.0,73.0,242.0,73.0,,,,4.68,,,,,4.21,38.0,122.0,25.0,00-0021085,lb,0,0,1,1,1,0,1,1,1,1,0,0,0,0
